kata_asli,kata_benar
ngga bisa,tidak bisa
nggak bisa,tidak bisa
lelet,lambat
lemot,lambat
lg,lagi
d,di
g,tidak
y,yang
ku,aku
ga bisa,tidak bisa
enggak bisa,tidak bisa
gak bisa,tidak bisa
gk bisa,tidak bisa
gabisaa,tidak bisa
gabisa2,tidak bisa
gbs,tidak bisa
ngga,tidak
enggak,tidak
kagak,tidak
ilangg,hilang
keilang,hilang
meloding,loading
ngaloding,loading
errorr,error
bgss,bagus
bisa2,bisa
muter2,loading
fitur2nya,fiturnya
data2,data
sangat2,sangat
benar2,benar
teman2,teman
ilmu2,ilmu
baca2,baca
bumil2,bumil
bner2,benar benar
temen2,teman teman
emak2,ibu ibu
mommy2,ibu ibu
info2nya,informasi nya
artikel2nya,artikel nya
orang2,orang orang
keluar2,keluar keluar
gara2,gara gara
dikit2,sedikit sedikit
bagus2,bagus bagus
baik2,baik baik
resep2,resep resep
awal2,awal awal
masa2,masa masa
tanya2,tanya tanya
ke2,kedua
lemod,lambat
